combination	M	n	h2	nwaves	het.slope	mean.slope	nrep	h2ge	missingness	Test
1	2000	20000	0.5	20	0	0	200	0	0	general
2	2000	20000	0.5	20	0	0.1	200	0	0	general
3	2000	20000	0.5	20	0	1	200	0	0	general
4	2000	20000	0.5	20	0.1	0	200	0	0	general
5	2000	20000	0.5	20	0.1	0.1	200	0	0	general
6	2000	20000	0.5	20	0.1	1	200	0	0	general
7	2000	20000	0.1	20	0	0	200	0	0	general
8	2000	20000	0.1	20	0	0.1	200	0	0	general
9	2000	20000	0.1	20	0	1	200	0	0	general
10	2000	20000	0.1	20	0.1	0	200	0	0	general
11	2000	20000	0.1	20	0.1	0.1	200	0	0	general
12	2000	20000	0.1	20	0.1	1	200	0	0	general
13	2000	20000	0.5	20	0	0	200	0.05	0	general
14	2000	20000	0.5	20	0	0.1	200	0.05	0	general
15	2000	20000	0.5	20	0	1	200	0.05	0	general
16	2000	20000	0.5	20	0.1	0	200	0.05	0	general
17	2000	20000	0.5	20	0.1	0.1	200	0.05	0	general
18	2000	20000	0.5	20	0.1	1	200	0.05	0	general
19	2000	20000	0.1	20	0	0	200	0.05	0	general
20	2000	20000	0.1	20	0	0.1	200	0.05	0	general
21	2000	20000	0.1	20	0	1	200	0.05	0	general
22	2000	20000	0.1	20	0.1	0	200	0.05	0	general
23	2000	20000	0.1	20	0.1	0.1	200	0.05	0	general
24	2000	20000	0.1	20	0.1	1	200	0.05	0	general
25	2000	10000	0.5	20	0	0	200	0	0	smallN
26	2000	10000	0.1	20	0	0	200	0	0	smallN
27	2000	10000	0.5	20	0	0	200	0.05	0	smallN
28	2000	10000	0.1	20	0	0	200	0.05	0	smallN
29	2000	20000	0.5	20	0	0	200	0	10	missingness
30	2000	20000	0.1	20	0	0	200	0	10	missingness
31	2000	20000	0.5	20	0	0	200	0.05	10	missingness
32	2000	20000	0.1	20	0	0	200	0.05	10	missingness
